Model,MAE,RMSE,R2 Score
Linear Regression,74.54833840773843,98.89111359826124,0.9988230141350337
Random Forest,72.2136956521739,114.44701012296893,0.998423602943972
Gradient Boosting,67.36565456154518,100.21127154338184,0.998791379773856
